요약,이슈 키,이슈 ID,이슈 유형,상태,프로젝트 키,프로젝트 이름,프로젝트 유형,프로젝트 리더,프로젝트 리더 ID,프로젝트 설명,우선 순위,해결,담당자,담당자 ID,보고자,보고자 ID,작성자,작성자 ID,만듦,업데이트,최근에 봄,해결됨,기한,투표,레이블,설명,환경,지켜보는 사람,관찰자 ID,최초 추정치,남은 추정치,사용한 시간,작업율,초기 추정의 합,Σ 남은 추정치,할애한 시간의 합,보안 등급,사용자정의 필드 (Team),사용자정의 필드 (development),사용자정의 필드 (순위),사용자정의 필드 (시작 날짜),사용자정의 필드 (이슈 색상),사용자정의 필드 (취약성),상위 항목,상위 키,Parent summary,상태 범주,상태 범주 변경됨
출처 포함 프로젝트 Q&A를 제공한다,WF-184,10500,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,,,,0,P0;assistant;qa;owner-고무서,사용자 질문에 프로젝트 근거를 검색해 답변하고 출처를 함께 표시한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0005r:,,,,,,,해야 할 일,14/7월/26 8:30 오후
업무 편중 점수 모델을 제공한다,WF-185,10504,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,dldmswn0293,712020:ceb2a2e9-bd2c-4488-b858-1856db7c737a,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,15/7월/26 2:42 오후,,,0,P0;ml;overload;owner-이은주,"팀원별 업무 수, 난이도, 완료율 기반으로 과부하 점수를 산정한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0005z:,,,,,,,해야 할 일,14/7월/26 8:30 오후
ML 모델링 파이프라인을 지원한다,WF-186,10507,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,dldmswn0293,712020:ceb2a2e9-bd2c-4488-b858-1856db7c737a,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,,,,0,P0;ml;pipeline;owner-이은주,지연 위험도 모델과 임베딩 파이프라인을 지원하고 실험 결과를 정리한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i00067:,,,,,,,해야 할 일,14/7월/26 8:30 오후
상태 기반 칸반 업무 보드를 제공한다,WF-187,10511,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,허영주,712020:003b2733-8159-41b2-99b0-1d958da43054,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,15/7월/26 10:17 오전,,,,0,P0;board;kanban;owner-유소은,"할 일, 진행 중, 보류, 완료 컬럼으로 업무를 조회하고 이동한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0006f:,,,,,,,해야 할 일,14/7월/26 8:30 오후
카테고리별 업무 생성과 상세 패널을 제공한다,WF-188,10514,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,허영주,712020:003b2733-8159-41b2-99b0-1d958da43054,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,15/7월/26 10:17 오전,,,,0,P0;task-category;detail;owner-유소은,업무 생성 시 카테고리를 먼저 선택하고 공통/전용 필드를 입력한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0006n:,,,,,,,해야 할 일,14/7월/26 8:30 오후
심사자 전용 기여도 리포트를 제공한다,WF-189,10518,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,,,,0,P0;reviewer;contribution;owner-고무서,"업무, 회의, 문서 기반 개인별 활동 요약과 근거를 심사자에게만 표시한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0006v:,,,,,,,해야 할 일,14/7월/26 8:30 오후
통합 QA와 권한 시나리오를 검증한다,WF-190,10522,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,,,,0,P0;qa;demo;owner-고무서,회의록 업로드부터 평가 근거 확인까지 데모 흐름과 권한 차단을 검증한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i00073:,,,,,,,해야 할 일,14/7월/26 8:30 오후
공통 API 규칙과 응답 envelope를 적용한다,WF-191,10525,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,14/7월/26 8:30 오후,,,,0,P0;api;contract;owner-박상준,"모든 API는 /api/v1 기준, {success,data,error} 규칙과 공통 오류 코드를 따른다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0007b:,,,,,,,해야 할 일,14/7월/26 8:30 오후
비동기 처리와 상태 폴링 기반을 구축한다,WF-192,10528,스토리,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 8:30 오후,15/7월/26 2:02 오후,,,,0,P0;async;queue;owner-박지수,"회의록 분석, RAG 인덱싱 작업을 비동기로 처리한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0007j:,,,,,,,진행 중,15/7월/26 2:02 오후
FS-1 인증/프로젝트/RBAC,WF-193,10677,에픽,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;auth;rbac;project;owner-박상준,"로그인, 프로젝트 생성, 팀원 초대, 프로젝트별 역할 권한을 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0007r:,,,,,,,해야 할 일,14/7월/26 9:10 오후
FS-2 회의록 AI/To-Do,WF-194,10678,에픽,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,박지수,712020:edc0bc1f-3635-4e65-be44-df268ba6731b,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,15/7월/26 2:02 오후,,,28/12월/25 12:00 오전,0,P0;meeting;todo;ai;owner-박지수,"회의록 업로드, LLM 분석, To-Do 후보 생성 및 승인 흐름을 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0007z:,,,,,,,진행 중,15/7월/26 2:02 오후
FS-3 대시보드/지연 위험도,WF-195,10679,에픽,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,유소은,712020:46584f29-35a8-435b-925e-689c4ceeb2ac,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,15/7월/26 10:17 오전,,,28/12월/25 12:00 오전,0,P0;dashboard;ml;owner-허영주,"진행률, 마감 임박, 최근 활동, ML 지연 위험도 예측, 팀원별 업무량 표시를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i00087:,,,,,,,해야 할 일,14/7월/26 9:10 오후
FS-4 AI Assistant/RAG,WF-196,10680,에픽,진행 중,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,15/7월/26 2:19 오후,,,28/12월/25 12:00 오전,0,P0;assistant;rag;owner-고무서,"프로젝트 데이터 기반 Q&A, embedding, vector 검색, 출처 표시를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0008f:,,,,,,,진행 중,15/7월/26 2:19 오후
FS-5 ML/AI 모델링,WF-197,10681,에픽,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,dldmswn0293,712020:ceb2a2e9-bd2c-4488-b858-1856db7c737a,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;ml;model;owner-이은주,"업무 편중 점수 모델, 지연 위험도 모델링 지원, 임베딩 파이프라인 지원을 담당한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0008n:,,,,,,,해야 할 일,14/7월/26 9:10 오후
FS-6 업무 보드,WF-198,10682,에픽,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,허영주,712020:003b2733-8159-41b2-99b0-1d958da43054,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,15/7월/26 10:17 오전,,,28/12월/25 12:00 오전,0,P0;board;kanban;owner-유소은,"카테고리별 업무 보드, 칸반, 상세 패널, 체크리스트를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0008v:,,,,,,,해야 할 일,14/7월/26 9:10 오후
FS-4 심사자/기여도/QA (통합),WF-199,10683,에픽,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;reviewer;contribution;qa;owner-고무서,"FS-7 이탈로 고무서(FS-4)가 인계. 심사자 대시보드, 개인별 기여도 리포트, AI 평가 근거, 통합 QA를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i00093:,,,,,,,해야 할 일,14/7월/26 9:10 오후
공통 통합/인프라,WF-200,10684,에픽,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;infra;integration;owner-박상준,"공통 API 규칙, 응답 envelope, 비동기 처리 기반을 구축한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0009b:,,,,,,,해야 할 일,14/7월/26 9:10 오후
로그인과 JWT 세션을 제공한다,WF-201,10685,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;auth;jwt;owner-박상준,사용자 로그인 후 서버가 Access/Refresh JWT를 발급하고 세션을 관리한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0009j:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
로그인/콜백 화면 구현,WF-202,10686,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;frontend;auth;owner-박상준,"로그인 버튼, 콜백 처리, 토큰 저장 흐름을 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0009r:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
로그인/refresh/logout API 구현,WF-203,10687,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;backend;auth;owner-박상준,"인증, 토큰 재발급, 로그아웃 API와 토큰 저장/폐기 로직을 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i0009z:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
users 테이블 및 인증 필드 구현,WF-204,10688,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;db;auth;owner-박상준,users 스키마와 조회/생성 로직을 구현한다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000a7:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
프로젝트 생성과 멤버 초대를 제공한다,WF-205,10689,스토리,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;project;invitation;owner-박상준,팀장은 프로젝트를 생성하고 팀원/심사자 초대 링크를 발급할 수 있다.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000af:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
프로젝트 목록/생성 UI 구현,WF-206,10690,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,High,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;frontend;project;owner-박상준,"프로젝트 목록, 생성 모달, 마감일/유형/설명 입력 UI를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000an:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
프로젝트 CRUD 및 초대 API 구현,WF-207,10691,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;backend;project;owner-박상준,"프로젝트 생성/조회/수정, 초대 발급/수락 API를 구현한다.",,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000av:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
프로젝트별 RBAC 라우트/API 가드 구현,WF-208,10692,작업,해야 할 일,WF,work-flow,software,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,Highest,,pj,712020:78cf1d37-3963-4e43-9a6c-654d711b9b46,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,14/7월/26 9:10 오후,14/7월/26 9:10 오후,,,28/12월/25 12:00 오전,0,P0;rbac;security;owner-박상준,project_members.role 기반으로 팀장/팀원/심사자 접근을 제어한다. 부담당 고무서.,,고무서,712020:f79e4240-1ccc-43b9-b556-1cf56a12819c,,,,,,,,,,{},0|i000b3:,,,,10677,WF-193,FS-1 인증/프로젝트/RBAC,해야 할 일,14/7월/26 9:10 오후
